num_golfers,num_weeks,num_groups,group_size,tightness_T,probe_conflicts,sa_runtime,exact_runtime,sa_finished,exact_finished,winner
15,2,5,3,0.2857142857142857,0.0,0.2037336826324463,0.1451387405395507,1,1,exact
15,2,3,5,0.5714285714285714,1071.0,100.0,100.0,0,0,none
30,2,6,5,0.2758620689655172,0.0,0.5784215927124023,0.7189397811889648,1,1,sa
12,2,4,3,0.3636363636363636,0.0,0.1499192714691162,0.0660221576690673,1,1,exact
30,2,10,3,0.1379310344827586,0.0,0.5235085487365723,1.3261041641235352,1,1,sa
30,2,3,10,0.6206896551724138,5241.0,100.0,100.0,0,0,none
28,2,2,14,0.9629629629629628,153.0,100.0,100.0,0,0,none
24,2,4,6,0.4347826086956521,188335.0,100.0,100.0,0,0,none
16,2,4,4,0.4,0.0,0.2365257740020752,0.1233518123626709,1,1,exact
25,2,5,5,0.3333333333333333,0.0,0.4544334411621094,0.3543844223022461,1,1,exact
8,2,8,1,0.0,0.0,0.0814213752746582,0.0546901226043701,1,1,exact
12,2,2,6,0.9090909090909092,65.0,100.0,100.0,0,0,none
24,2,3,8,0.6086956521739131,3105.0,100.0,100.0,0,0,none
30,2,2,15,0.9655172413793104,164.0,100.0,100.0,0,0,none
24,2,8,3,0.1739130434782608,0.0,0.377418041229248,0.5908584594726562,1,1,sa
22,2,11,2,0.0952380952380952,0.0,0.3120670318603515,0.6944022178649902,1,1,sa
20,2,10,2,0.1052631578947368,0.0,0.2722856998443603,0.4806840419769287,1,1,sa
21,2,3,7,0.6,2283.0,100.0,100.0,0,0,none
18,2,3,6,0.5882352941176471,1609.0,100.0,100.0,0,0,none
12,2,12,1,0.0,0.0,0.1281702518463134,0.1463897228240966,1,1,sa
21,2,7,3,0.2,0.0,0.3092062473297119,0.3640115261077881,1,1,sa
24,2,2,12,0.9565217391304348,131.0,100.0,100.0,0,0,none
18,2,2,9,0.9411764705882352,98.0,100.0,100.0,0,0,none
12,2,6,2,0.1818181818181818,0.0,0.1386637687683105,0.1041302680969238,1,1,exact
30,2,5,6,0.3448275862068966,641292.0,100.0,100.0,0,0,none
14,2,7,2,0.1538461538461538,0.0,0.1768574714660644,0.1418099403381347,1,1,exact
27,2,9,3,0.1538461538461538,0.0,0.4464032649993896,0.8916192054748535,1,1,sa
14,2,2,7,0.9230769230769232,76.0,100.0,100.0,0,0,none
24,2,6,4,0.2608695652173913,0.0,0.3924438953399658,0.4236214160919189,1,1,sa
20,2,5,4,0.3157894736842105,0.0,0.3070781230926513,0.2232246398925781,1,1,exact
20,2,4,5,0.4210526315789473,97277.0,100.0,100.0,0,0,none
28,2,7,4,0.2222222222222222,0.0,0.512075662612915,0.741142749786377,1,1,sa
16,2,2,8,0.9333333333333332,87.0,100.0,100.0,0,0,none
18,2,6,3,0.2352941176470588,0.0,0.2518346309661865,0.2196907997131347,1,1,exact
11,2,11,1,0.0,0.0,0.1102628707885742,0.1191573143005371,1,1,sa
28,2,4,7,0.4444444444444444,331723.0,100.0,100.0,0,0,none
24,2,12,2,0.0869565217391304,0.0,0.3520214557647705,0.9433844089508056,1,1,sa
10,2,5,2,0.2222222222222222,0.0,0.1180994510650634,0.065373420715332,1,1,exact
27,2,3,9,0.6153846153846154,4087.0,100.0,100.0,0,0,none
12,2,3,4,0.5454545454545454,657.0,100.0,100.0,0,0,none
8,3,4,2,0.4285714285714285,224.0,0.1075992584228515,0.0565607547760009,1,1,exact
8,3,8,1,0.0,0.0,0.0946593284606933,0.0750656127929687,1,1,exact
9,3,3,3,0.75,236.0,0.1447138786315918,0.0435574054718017,1,1,exact
9,3,9,1,0.0,0.0,0.1079127788543701,0.1069777011871337,1,1,exact
10,3,5,2,0.3333333333333333,405.0,0.1366417407989502,0.0912141799926757,1,1,exact
10,3,10,1,0.0,0.0,0.1181414127349853,0.1322371959686279,1,1,sa
11,3,11,1,0.0,0.0,0.130662202835083,0.1764249801635742,1,1,sa
12,3,3,4,0.8181818181818182,804.0,100.0,100.0,0,0,none
12,3,4,3,0.5454545454545454,496.0,0.1791536808013916,0.1133453845977783,1,1,exact
12,3,6,2,0.2727272727272727,0.0,0.1680660247802734,0.1441292762756347,1,1,exact
12,3,12,1,0.0,0.0,0.1451702117919922,0.2308156490325927,1,1,sa
