num_groups,num_players,num_weeks,initial_violations_mab,final_violations_mab,improvement_mab,time_seconds_mab,initial_violations_rl,final_violations_rl,improvement_rl,time_seconds_rl
2,6,2,2,2,0,4.16,2,2,0,3.07
2,8,2,4,4,0,7.6,6,6,0,1.59
2,8,3,10,4,6,4.72,10,4,6,4.74
3,9,3,6,0,6,6.13,9,0,9,3.1
3,12,2,3,3,0,33.53,3,3,0,4.71
3,12,3,10,3,7,14.48,13,9,4,4.96
3,15,3,20,6,14,23.09,22,17,5,7.41
4,8,3,0,0,0,5.84,2,0,2,3.09
4,12,4,12,0,12,11.08,11,2,9,4.79
4,16,2,2,0,2,16.27,5,5,0,6.55
4,16,3,8,0,8,19.62,12,7,5,6.35
4,16,4,21,0,21,23.21,19,19,0,7.9
4,20,2,14,4,10,1061.08,5,4,1,8.15
5,10,3,3,0,3,9.03,4,0,4,3.19
6,18,3,3,0,3,34.86,10,5,5,11.01
6,18,4,8,0,8,40.49,9,9,0,14.22
6,24,3,11,0,11,73.59,13,7,6,20.22
7,21,2,2,0,2,53.02,4,0,4,11.19
7,28,3,10,0,10,122.89,14,0,14,28.42
7,35,2,5,0,5,214.75,13,12,1,29.58
8,16,4,3,0,3,41.56,3,1,2,14.34
8,24,4,8,0,8,91.48,12,10,2,30.33
8,32,7,73,0,73,277.23,73,70,3,84.38
9,18,3,0,0,0,80.91,0,0,0,15.45
9,36,2,3,0,3,303.34,4,0,4,38.7
9,36,3,9,0,9,375.53,19,8,11,56.34
10,20,2,0,0,0,72.37,0,0,0,14.27
10,30,2,4,0,4,193.85,3,1,2,27.8
10,30,3,6,0,6,230.58,8,1,7,43.05
10,40,3,13,0,13,455.98,8,2,6,85.48
11,33,3,7,0,7,515.44,5,5,0,57.63
