num_groups,num_players,num_weeks
2,6,2
2,6,3
2,6,4
2,8,2
2,8,3
2,10,2
2,10,3
3,6,2
3,6,3
3,6,4
3,9,2
3,9,3
3,9,4
3,12,2
3,12,3
3,12,4
3,15,2
3,15,3
3,15,4
4,8,2
4,8,3
4,8,4
4,8,5
4,12,2
4,12,3
4,12,4
4,12,5
4,16,2
4,16,3
4,16,4
4,16,5
4,20,2
4,20,3
4,20,4
5,10,2
5,10,3
5,10,4
5,15,2
5,15,3
5,15,4
5,15,5
5,15,6
5,20,2
5,20,3
5,20,4
5,20,5
5,25,2
5,25,3
5,25,4
6,12,2
6,12,3
6,12,4
6,18,2
6,18,3
6,18,4
6,18,5
6,24,2
6,24,3
6,24,4
6,24,5
6,30,2
6,30,3
7,14,2
7,14,3
7,21,2
7,21,3
7,21,4
7,21,5
7,28,2
7,28,3
7,28,4
7,35,2
7,35,3
8,16,2
8,16,3
8,16,4
8,24,3
8,24,4
8,24,5
8,32,5
8,32,6
8,32,7
8,32,8
8,32,9
8,32,10
9,18,2
9,18,3
9,27,2
9,27,3
9,27,4
9,36,2
9,36,3
10,20,2
10,20,3
10,30,2
10,30,3
10,40,2
10,40,3
11,33,2
11,33,3
12,36,2
12,36,3
