num_groups,num_players,num_weeks,method,initial_violations,final_violations,improvement,time_seconds
2,6,2,MAB,2,2,0,4.16
2,6,3,MAB,6,4,2,4.58
2,6,4,MAB,8,7,1,4.24
2,8,2,MAB,4,4,0,7.6
2,8,3,MAB,10,4,6,4.72
2,10,2,MAB,8,8,0,91.9
2,10,3,MAB,20,12,8,49.39
3,6,2,MAB,0,0,0,4.19
3,6,3,MAB,2,0,2,4.43
3,6,4,MAB,4,0,4,4.48
3,9,2,MAB,2,0,2,5.26
3,9,3,MAB,6,0,6,6.13
3,9,4,MAB,11,0,11,6.11
3,12,2,MAB,3,3,0,33.53
3,12,3,MAB,10,3,7,14.48
3,12,4,MAB,18,9,9,36.76
3,15,2,MAB,9,6,3,969.04
3,15,3,MAB,20,6,14,23.09
3,15,4,MAB,34,13,21,229.6
4,8,2,MAB,0,0,0,4.59
4,8,3,MAB,0,0,0,5.84
4,8,4,MAB,3,0,3,6.15
4,8,5,MAB,4,0,4,6.86
4,12,2,MAB,1,0,1,7.97
4,12,3,MAB,5,0,5,11.54
4,12,4,MAB,12,0,12,11.08
4,12,5,MAB,18,3,15,18.93
4,16,2,MAB,2,0,2,16.27
4,16,3,MAB,8,0,8,19.62
4,16,4,MAB,21,0,21,23.21
4,16,5,MAB,38,0,38,76.64
4,20,2,MAB,14,4,10,1061.08
4,20,3,MAB,19,4,15,81.3
4,20,4,MAB,39,4,35,170.7
5,10,2,MAB,0,0,0,7.82
5,10,3,MAB,3,0,3,9.03
5,10,4,MAB,3,0,3,9.52
5,15,2,MAB,3,0,3,17.0
5,15,3,MAB,9,0,9,20.35
5,15,4,MAB,12,0,12,21.75
5,15,5,MAB,17,0,17,25.48
5,15,6,MAB,21,0,21,28.71
5,20,2,MAB,3,0,3,34.59
5,20,3,MAB,10,0,10,38.99
5,20,4,MAB,25,0,25,42.17
5,20,5,MAB,35,2,33,91.63
5,25,2,MAB,11,0,11,63.2
5,25,3,MAB,20,0,20,70.91
5,25,4,MAB,32,0,32,102.4
6,12,2,MAB,0,0,0,10.82
6,12,3,MAB,1,0,1,15.96
6,12,4,MAB,5,0,5,15.92
6,18,2,MAB,3,0,3,27.07
6,18,3,MAB,3,0,3,34.86
6,18,4,MAB,8,0,8,40.49
6,18,5,MAB,14,0,14,41.05
6,24,2,MAB,5,0,5,53.31
6,24,3,MAB,11,0,11,73.59
6,24,4,MAB,25,0,25,72.79
6,24,5,MAB,34,0,34,82.43
6,30,2,MAB,12,0,12,132.59
6,30,3,MAB,23,0,23,156.7
7,14,2,MAB,0,0,0,19.67
7,14,3,MAB,1,0,1,23.34
7,21,2,MAB,2,0,2,53.02
7,21,3,MAB,6,0,6,53.05
7,21,4,MAB,13,0,13,60.56
7,21,5,MAB,17,0,17,68.68
7,28,2,MAB,8,0,8,125.01
7,28,3,MAB,10,0,10,122.89
7,28,4,MAB,21,0,21,115.74
7,35,2,MAB,5,0,5,214.75
7,35,3,MAB,26,0,26,264.82
8,16,2,MAB,0,0,0,33.95
8,16,3,MAB,1,0,1,36.88
8,16,4,MAB,3,0,3,41.56
8,24,3,MAB,7,0,7,100.97
8,24,4,MAB,8,0,8,91.48
8,24,5,MAB,11,0,11,97.72
8,32,5,MAB,43,0,43,208.52
8,32,6,MAB,50,0,50,221.38
8,32,7,MAB,73,0,73,277.23
8,32,8,MAB,86,9,77,1210.74
8,32,9,MAB,108,28,80,1836.3
8,32,10,MAB,121,46,75,2192.28
9,18,2,MAB,1,0,1,54.27
9,18,3,MAB,0,0,0,80.91
9,27,2,MAB,2,0,2,145.67
9,27,3,MAB,7,0,7,153.14
9,27,4,MAB,12,0,12,146.48
9,36,2,MAB,3,0,3,303.34
9,36,3,MAB,9,0,9,375.53
10,20,2,MAB,0,0,0,72.37
10,20,3,MAB,2,0,2,88.95
10,30,2,MAB,4,0,4,193.85
10,30,3,MAB,6,0,6,230.58
10,40,2,MAB,4,0,4,383.92
10,40,3,MAB,13,0,13,455.98
11,33,2,MAB,0,0,0,395.8
11,33,3,MAB,7,0,7,515.44
12,36,2,MAB,2,0,2,453.63
12,36,3,MAB,7,0,7,525.82
